Intel Xeon E5-1650 v3,19736
Intel Xeon E5-1650 v2,17057
Intel Core i5-5575R,11605
Intel Pentium 2030M,3825
Intel Core i5-5200U,4950
Intel Pentium 997,2159
Intel Core i5-661,4754
Intel Core i5-660,4627
AMD A10-7300,3196
AMD Opteron 6276,8176
Intel Celeron T1600,1565
Intel Atom x5-Z8550,2922
Intel Core i3-3220T,5011
Intel Pentium G6951,3243
Intel Pentium G6950,3017
Intel Core i7-2637M,4084
Intel Core 2 Duo T5470,1719
AMD A4-3300,2318
AMD A8 PRO-7150B,3122
Intel Core i7-4700MQ,10243
Intel Pentium G3450,5397
Intel Core i5-650,4680
Intel Xeon E5-2687W,19974
AMD PRO A12-8800B,4479
AMD A6-3400M,2866
Intel Core 2 Extreme Q6800,4868
Intel Pentium G3258,6282
Intel Pentium N3520,2849
Intel Xeon E5-1607 v2,9075
AMD E1-1500,1020
Intel Xeon E5-2650 v2,17586
Intel Xeon E5-2650 v3,21155
Intel Core 2 Extreme X9100,2929
Intel Celeron 1037U,2655
AMD A6-1450,1822
Intel Core i3-3130M,3972
Intel Core 2 Duo T9400,2573
Intel Xeon E5-2650 v4,8650
Intel Atom x5-Z8300,2073
Intel Core 2 Duo E4600,1980
Intel Core i5-3350P,8975
Intel Pentium G3260,5233
Intel Core i7-6660U,7170
Intel Pentium N3510,2382
Intel Core i7-2700K,12660
Intel Xeon E3-1265L v3,12349
Intel Xeon E3-1265L v2,10359
Intel Celeron G530,3286
Intel Core i7-3740QM,10454
Intel Core i5-2500,9150
Intel Celeron 3215U,2798
AMD Phenom II X4 975 Black Edition,6352
Intel Xeon E5-2696 v3,29343
AMD Phenom X3 8400,2442
Intel Xeon E5-2696 v4,28514
Intel Core i5-4590T,8311
AMD A6-3620,4093
Intel Xeon E3-1240 v3,13006
AMD Ryzen 5 1500X,13720
Intel Xeon E3-1240 v2,12058
Intel Core i5-4590S,10355
Intel Xeon E3-1240 v5,14584
Intel Core i3-4000M,4628
Intel Core M-5Y51,4472
Intel Pentium N3540,2957
Intel Core i7-4700HQ,10499
Intel Celeron N3350,2337
Intel Pentium D 840/935/940,1684
Intel Core i5-4288U,5820
AMD A6-3650,4641
Intel Core i3-2370M,3795
Intel Celeron G540,3240
AMD Phenom II X2 555 Black Edition,3246
Intel Core 2 Duo T7200,1890
AMD Phenom II X4 B25,4466
Intel Core i3-4330T,6606
AMD A10-9600P,4265
Intel Core i7-4800MQ,11175
Intel Pentium 3560Y,1720
Intel Core i7-7660U,8625
Intel Pentium G3240,4844
AMD Phenom II X2 545,2874
Intel Core i7-3940XM,11489
Intel Core i3-5005U,4090
Intel Pentium N3530,2899
Intel Core i7-2617M,4280
Intel Core 2 Duo T5270,1093
AMD Phenom II X4 B35,5196
Intel Core i3-3240T,4960
Intel Celeron G550,3573
Intel Core i7-4702MQ,9801
AMD A10-7860K,5727
Intel Core i5-6200U,5714
Intel Core 2 Duo T8300,2264
Intel Pentium D 830/925/930,1552
AMD A10-7400P,3968
Intel Core i3-330M,2853
Intel Core i5-4350U,5561
Intel Pentium G3250,4980
Intel Pentium 967,1911
Intel Pentium G2030T,3804
AMD Phenom II X4 805,4456
Intel Xeon E5649,9570
Intel Celeron N3450,3705
Intel Core i5-4202Y,3246
Intel Core 2 Duo P9300,2271
Intel Celeron 1017U,2419
Intel Core i5-2310,8207
AMD Phenom II X4 965 Black Edition,5880
Intel Xeon E5-2697 v4,27634
Intel Xeon E5-2697 v3,29320
Intel Core i3-7300,9137
Intel Core i5-3330S,8270
Intel Pentium T2370,1508
Intel Pentium 4 519K/524,665
AMD A10-7800,5478
Intel Xeon E5-2697 v2,23049
Intel Xeon E3-1226 v3,11178
Intel Core i3-8350K,16075
AMD Phenom II X4 810,4717
Intel Xeon E5410,3872
AMD E1-2100,828
AMD Athlon X4 740,4983
AMD E-350D,1068
Intel Core i7-4960HQ,13195
Intel Core 2 Extreme X9650,5610
Intel Pentium E6700,2943
Intel Xeon L5520,6635
Intel Core i7-8700K,25963
AMD A6-3430MX,3413
Intel Core 2 Duo T6500,1922
Intel Core i5-2300,8001
Intel Core i5-580M,3996
AMD A4-5300,2722
Intel Core 2 Duo E6700,2527
Intel Pentium T4300,1850
AMD A10-6700,5253
Intel Xeon E5405,3737
