AMD Athlon II X3 450,2010 2 Semester
AMD A4-5300B,2012 2 Semester
AMD PRO A10-8850B,2015 2 Semester
AMD FX-4170,2012 1 Semester
AMD A6-7400K,2014 1 Semester
AMD Athlon II X3 455,2010 2 Semester
AMD FX-6350,2012 2 Semester
AMD Athlon II X2 250 ,2009 1 Semester
Intel Core 2 Quad Q9550S,2009 1 Semester
Intel Celeron J3355,2016 2 Semester
Intel Core i3-7350K,2017 1 Semester
AMD A6-6420K,2014 1 Semester
Intel Core i7-7820X,2017 1 Semester
Intel Core 2 Duo E7200,2008 1 Semester
Intel Core i7-930,2010 1 Semester
Intel Core i5-655K,2010 1 Semester
Intel Core i3-7100,2017 1 Semester
AMD Phenom II X4 965 ,2009 2 Semester
AMD Phenom II X6 1065T,2010 2 Semester
Intel Core i7-4765T,2013 1 Semester
AMD A8-7600,2014 1 Semester
Intel Core i7-7700K,2017 1 Semester
AMD Sempron 140,2009 2 Semester
AMD FX-6100,2011 2 Semester
AMD Sempron 145,2010 1 Semester
AMD Athlon II X3 445,2010 1 Semester
Intel Celeron E1500,2008 2 Semester
Intel Core i7-4960X,2013 2 Semester
Intel Core 2 Duo E8400,2008 1 Semester
Intel Core i5-750S,2010 1 Semester
Intel Core i7-4790,2014 1 Semester
Intel Core i7-7700T,2017 1 Semester
AMD A4 PRO-7350B,2014 2 Semester
AMD Phenom II X6 1055T ,2010 1 Semester
Intel Pentium G3440T,2014 1 Semester
AMD Athlon II X4 615e,2010 2 Semester
Intel Core i7-940,2008 2 Semester
AMD Athlon II X3 400e,2009 2 Semester
AMD FirePro A300,2012 2 Semester
Intel Core i7-7700,2017 1 Semester
Intel Celeron G3950,2017 1 Semester
Intel Core i9-7920X,2017 2 Semester
AMD PRO A12-8870E,2016 2 Semester
Intel Celeron J4105,2017 2 Semester
AMD Phenom II X2 570 BE,2011 1 Semester
AMD FX-8310,2014 2 Semester
AMD Athlon 64 X2 5400B,2008 1 Semester
AMD Phenom X4 9150e,2008 2 Semester
Intel Core i7-6700K,2015 2 Semester
Intel Core 2 Duo E7300,2008 2 Semester
Intel Core i7-950,2009 1 Semester
Intel Core i7-6700T,2015 2 Semester
AMD Phenom II X4 955 ,2010 2 Semester
AMD Athlon II X3 435 ,2009 2 Semester
AMD Ryzen Threadripper 1950X,2017 2 Semester
AMD Phenom II X4 910,2009 1 Semester
AMD FX-8300,2012 2 Semester
AMD FX-6120,2012 1 Semester
Intel Celeron E1600,2009 1 Semester
Intel Pentium G2100T,2012 2 Semester
AMD Athlon II X2 250u,2009 2 Semester
AMD A6-9500,2016 2 Semester
AMD A10-6800B,2013 2 Semester
Intel Core i7-965,2008 2 Semester
Intel Core 2 Duo E8500,2008 1 Semester
AMD Athlon II X3 460,2011 1 Semester
Intel Core i7-960,2009 2 Semester
Intel Core 2 Duo E6320,2007 1 Semester
AMD Athlon II X2 250e,2010 2 Semester
AMD FirePro A320,2012 2 Semester
AMD A10-6800K,2013 1 Semester
AMD Phenom II X4 920,2009 1 Semester
Intel Core i3-560,2010 2 Semester
AMD Phenom II X4 960T,2010 2 Semester
Intel Core i5-2500T,2011 1 Semester
AMD Phenom X4 9850 ,2009 1 Semester
Intel Core i5-2500S,2011 1 Semester
Intel Core i7-3770,2012 1 Semester
AMD A6 PRO-7400B,2014 2 Semester
AMD Athlon X2 340,2012 2 Semester
AMD Ryzen 7 PRO 1700X ,2017 2 Semester
Intel Core i3-4360T,2014 2 Semester
Intel Core i7-6900K,2016 1 Semester
Intel Core i3-4130T,2013 2 Semester
Intel Celeron G3900,2015 2 Semester
AMD Phenom X3 8550,2008 2 Semester
AMD Athlon II X3 415e,2010 1 Semester
Intel Celeron G1840,2014 1 Semester
AMD Ryzen 5 1600,2017 1 Semester
AMD FX-8320E,2014 2 Semester
AMD Phenom II X2 521,2011 1 Semester
Intel Core i5-8400,2017 2 Semester
AMD FX-8320,2012 2 Semester
Intel Core i3-550,2010 1 Semester
AMD Athlon X2 5200+ ,2010 2 Semester
AMD Athlon II X2 215 ,2009 2 Semester
AMD Phenom II X4 840T,2010 2 Semester
Intel Core 2 Duo E8200,2008 1 Semester
AMD Ryzen 7 1700X,2017 1 Semester
AMD Athlon 64 X2 5000B,2008 1 Semester
Intel Core i5-2500K,2011 1 Semester
Intel Celeron G1610,2013 1 Semester
Intel Core i7-3960X,2011 2 Semester
Intel Celeron G1850,2014 1 Semester
AMD A8-3850,2011 2 Semester
AMD Phenom II X2 511,2011 1 Semester
Intel Core i9-7900X,2017 1 Semester
AMD Sempron 150,2010 2 Semester
Intel Core 2 Extreme QX6850,2007 2 Semester
Intel Core i7-5930K,2014 2 Semester
Intel Core i3-540,2010 1 Semester
AMD A10-5800K,2012 2 Semester
AMD FX-8350,2012 2 Semester
Intel Core i3-7300T,2017 1 Semester
AMD Athlon II X4 638,2012 1 Semester
Intel Celeron J3455,2016 2 Semester
Intel Core i3-4350T,2014 1 Semester
AMD Athlon 64 X2 BE-2300 ,2007 1 Semester
